District,Price
ACALANES UNION HIGH,452600.0
ACALANES UNION HIGH,358500.0
ACALANES UNION HIGH,352100.0
ACALANES UNION HIGH,341300.0
ACALANES UNION HIGH,342200.0
ACALANES UNION HIGH,269700.0
ACALANES UNION HIGH,299200.0
ACALANES UNION HIGH,241400.0
BERKELEY UNIFIED,226700.0
ACALANES UNION HIGH,261100.0
BERKELEY UNIFIED,281500.0
BERKELEY UNIFIED,241800.0
BERKELEY UNIFIED,213500.0
BERKELEY UNIFIED,191300.0
BERKELEY UNIFIED,159200.0
BERKELEY UNIFIED,140000.0
BERKELEY UNIFIED,152500.0
BERKELEY UNIFIED,155500.0
BERKELEY UNIFIED,158700.0
BERKELEY UNIFIED,162900.0
BERKELEY UNIFIED,147500.0
BERKELEY UNIFIED,159800.0
BERKELEY UNIFIED,113900.0
BERKELEY UNIFIED,99700.0
BERKELEY UNIFIED,132600.0
BERKELEY UNIFIED,107500.0
BERKELEY UNIFIED,93800.0
BERKELEY UNIFIED,105500.0
BERKELEY UNIFIED,108900.0
BERKELEY UNIFIED,132000.0
BERKELEY UNIFIED,122300.0
BERKELEY UNIFIED,115200.0
BERKELEY UNIFIED,110400.0
OAKLAND UNIFIED,104900.0
OAKLAND UNIFIED,109700.0
OAKLAND UNIFIED,97200.0
OAKLAND UNIFIED,104500.0
EMERY UNIFIED,103900.0
OAKLAND UNIFIED,191400.0
OAKLAND UNIFIED,176000.0
OAKLAND UNIFIED,155400.0
OAKLAND UNIFIED,150000.0
BERKELEY UNIFIED,118800.0
BERKELEY UNIFIED,188800.0
OAKLAND UNIFIED,184400.0
OAKLAND UNIFIED,182300.0
OAKLAND UNIFIED,142500.0
OAKLAND UNIFIED,137500.0
OAKLAND UNIFIED,187500.0
OAKLAND UNIFIED,112500.0
OAKLAND UNIFIED,171900.0
OAKLAND UNIFIED,93800.0
OAKLAND UNIFIED,97500.0
OAKLAND UNIFIED,104200.0
OAKLAND UNIFIED,87500.0
OAKLAND UNIFIED,83100.0
OAKLAND UNIFIED,87500.0
OAKLAND UNIFIED,85300.0
OAKLAND UNIFIED,80300.0
OAKLAND UNIFIED,60000.0
EMERY UNIFIED,75700.0
OAKLAND UNIFIED,75000.0
OAKLAND UNIFIED,86100.0
OAKLAND UNIFIED,76100.0
OAKLAND UNIFIED,73500.0
OAKLAND UNIFIED,78400.0
OAKLAND UNIFIED,84400.0
ALAMEDA CITY UNIFIED,81300.0
OAKLAND UNIFIED,85000.0
OAKLAND UNIFIED,129200.0
OAKLAND UNIFIED,82500.0
OAKLAND UNIFIED,95200.0
OAKLAND UNIFIED,75000.0
OAKLAND UNIFIED,67500.0
OAKLAND UNIFIED,137500.0
OAKLAND UNIFIED,177500.0
OAKLAND UNIFIED,102100.0
OAKLAND UNIFIED,108300.0
OAKLAND UNIFIED,112500.0
ALAMEDA CITY UNIFIED,131300.0
OAKLAND UNIFIED,162500.0
OAKLAND UNIFIED,112500.0
OAKLAND UNIFIED,112500.0
OAKLAND UNIFIED,137500.0
OAKLAND UNIFIED,118800.0
OAKLAND UNIFIED,98200.0
OAKLAND UNIFIED,118800.0
OAKLAND UNIFIED,162500.0
ALAMEDA CITY UNIFIED,137500.0
ALAMEDA CITY UNIFIED,500001.0
ALAMEDA CITY UNIFIED,162500.0
ALAMEDA CITY UNIFIED,137500.0
ALAMEDA CITY UNIFIED,162500.0
ALAMEDA CITY UNIFIED,187500.0
ALAMEDA CITY UNIFIED,179200.0
ALAMEDA CITY UNIFIED,130000.0
OAKLAND UNIFIED,183800.0
