District,SAT
ALAMEDA CITY UNIFIED,979
ALBANY CITY UNIFIED,1130
BERKELEY UNIFIED,1107
CASTRO VALLEY UNIFIED,1097
EMERY UNIFIED,713
FREMONT UNIFIED,1185
HAYWARD UNIFIED,941
LIVERMORE VALLEY JOINT UNIFIED,1094
NEWARK UNIFIED,986
NEW HAVEN UNIFIED,981
OAKLAND UNIFIED,956
PIEDMONT CITY UNIFIED,1243
SAN LEANDRO UNIFIED,992
SAN LORENZO UNIFIED,960
DUBLIN UNIFIED,1077
PLEASANTON UNIFIED,1107
COUNTY SUPT.,998
AMADOR COUNTY UNIFIED,1053
BIGGS UNIFIED,950
CHICO UNIFIED,1061
DURHAM UNIFIED,1111
OROVILLE UNION HIGH,964
PARADISE UNIFIED,1082
GRIDLEY UNIFIED,961
BRET HARTE UNION HIGH,1039
CALAVERAS UNIFIED,1016
COLUSA UNIFIED,915
MAXWELL UNIFIED,959
PIERCE JOINT UNIFIED,827
ACALANES UNION HIGH,1202
ANTIOCH UNIFIED,991
JOHN SWETT UNIFIED,940
LIBERTY UNION HIGH,984
MARTINEZ UNIFIED,1074
MT. DIABLO UNIFIED,806
PITTSBURG UNIFIED,924
WEST CONTRA COSTA UNIFIED,985
SAN RAMON VALLEY UNIFIED,1129
DEL NORTE COUNTY UNIFIED,1020
EL DORADO UNION HIGH,1136
LAKE TAHOE UNIFIED,1050
BLACK OAK MINE UNIFIED,1035
CARUTHERS UNION HIGH,876
CLOVIS UNIFIED,1058
COALINGA/HURON JOINT UNIFIED,899
FOWLER UNIFIED,903
FRESNO UNIFIED,978
KINGSBURG JOINT UNION HIGH,946
KINGS CANYON JOINT UNIFIED,941
LATON JOINT UNIFIED,784
PARLIER UNIFIED,849
SANGER UNIFIED,934
SELMA UNIFIED,932
WASHINGTON UNION HIGH,814
FIREBAUGH-LAS DELTAS JOINT UNI,808
CENTRAL UNIFIED,881
KERMAN UNIFIED,887
MENDOTA UNIFIED,714
GOLDEN PLAINS UNIFIED,761
SIERRA UNIFIED,1055
RIVERDALE JOINT UNIFIED,903
HAMILTON UNION HIGH,879
PRINCETON JOINT UNIFIED,1047
WILLOWS UNIFIED,934
ORLAND JOINT UNIFIED,988
NORTHERN HUMBOLDT UNION HIGH,1152
FORTUNA UNION HIGH,1041
SOUTHERN HUMBOLDT JOINT UNIFIE,1068
FERNDALE UNIFIED,1020
EUREKA CITY UNIFIED,1099
BRAWLEY UNION HIGH,880
CALEXICO UNIFIED,890
CALIPATRIA UNIFIED,852
CENTRAL UNION HIGH,917
HOLTVILLE UNIFIED,888
IMPERIAL UNIFIED,868
